Name,Inventors,Assignee,Patent title,URLs,Item type,Topic area,Molecules,Keywords (GFI),Technology sector,Common Name,Abstract,Keywords,Resource,Species,Notes (public),Publication year,Date published,Issuing authority,Patent number,Date filed,Type of patent,Issuing office full name,Application number,Created,Last Modified
Weissenbach_2022b,"Weissenbach JL,Sylvia R,von der Brelie A,Brandl M,Fesenfeld M",Merck Patent Gmbh,Consumable tissue-like structure generated with muscle cells grown on edible hollow fibers,https://patentimages.storage.googleapis.com/22/10/eb/41f76296c5c918/WO2022038240A2.pdf; https://patents.google.com/patent/WO2022038240A2/en?oq=WO2022038240A2,Patent,"Meat,Cultivated",,,,,"The present invention is directed toward edible hollow fibers and cartridges and bioreactors comprising the hollow fibers of the present invention, as well as, methods of production of structured clean meat products produced with the hollow fibers, cartridges and bioreactors of the present invention and the structured clean meat products produced by said methods. The macroscopic structure of structured clean meat grown on edible hollow fibers will result in a unique final structure. This final structure will contain a finite amount of fibers per unit area; with meat on the outside of the fibers.",,Cultivated Meat Library,,,2022,2/24/22,WIPO,2022038240:A2,8/19/21,World Patent,World Intellectual Property Organization,PC:T/EP2021/073078,2022-08-26,2023-02-02
Mueller-Auffermann_2022,Mueller-Auffermann K,Upside Foods Inc,Filter cake-based systems and methods for the cultivation of cells and cell biomass,https://patentimages.storage.googleapis.com/26/02/c2/6c4925d8882757/US11319520.pdf; https://patents.google.com/patent/US11319520B1/en?oq=US11319520,Patent,"Meat,Cultivated",,,,,"Provided herein are filter cake-based systems and methods for cultivating cells and cell biomass therefrom. Provided herein is a system for cultivating cells and cell biomass comprising a filter chamber comprising at least one inlet and at least one outlet, at least one filter support located within the filter chamber, and a filter cake located on the filter support, wherein the filter cake comprises at least one filter aid and a plurality of cells. Provided herein is a method for optimizing the cultivation of cells and cell biomass, comprising providing a filter support, adding at least one filter aid to the filter support, adding a plurality of cells to the filter aid, wherein the cells and the filter aid together comprise a filter cake, growing the cells into a cell biomass in the filter cake, wherein the filter cake is at least partially compressible.",,Cultivated Meat Library,,,2022,5/3/22,USPTO,11319520,9/21/21,US Patent,United States Patent and Trademark Office,US:17/481176,2022-08-26,2023-02-02
Lavon_2022a,"Lavon N,Molotski N,Zehorai E,Glick Y,Fireberg KT",Aleph Farms Ltd.,"Cell-free animal collagen, methods of production and uses thereof",https://patentimages.storage.googleapis.com/fd/29/67/f428d994f71f7b/WO2022043994A1.pdf; https://patents.google.com/patent/WO2022043994A1/en?oq=WO2022043994A1,Patent,"Meat,Cultivated",,,,,"The present invention relates to the field of use of animal cells for producing products containing animal-derived materials in a sustainable manner, preserving natural resources and promoting animal welfare, particularly for production of cell-free collagen and use thereof for forming textile, particularly leather-like textile, food products, particularly cultured meat, cosmetic products, and medical uses.",,Cultivated Meat Library,,,2022,3/3/22,WIPO,2022043994:A1,8/22/21,World Patent,World Intellectual Property Organization,PC:T/IL2021/051026,2022-08-26,2023-02-02
Li_2022b,"Li M,Park N,Santo VE","Good Meat, Inc.",Extrudate food compositions comprising cultivated animal cells and methods of production thereof,https://patentimages.storage.googleapis.com/ee/e2/41/b41cd20a402f4d/WO2022047263A1.pdf; https://patents.google.com/patent/WO2022047263A1/en?oq=WO2022047263A1,Patent,"Meat,Cultivated",,,,,Provided herein are extruded food products comprising cultivated animal cells and a plant protein. Also provided are methods for preparing extruded food products.,,Cultivated Meat Library,,,2022,3/3/22,WIPO,2022047263:A1,8/27/21,World Patent,World Intellectual Property Organization,PC:T/US2021/048106,2022-08-26,2023-02-02
Lavon_2022d,"Lavon N,Toubia D,Bodanovsky A",Aleph Farms Ltd,Pluripotent cell aggregates and use thereof,https://patentimages.storage.googleapis.com/cf/19/e6/419b0247cea70a/US20220220439A1.pdf; https://patents.google.com/patent/US20220220439A1/en?oq=US20220220439A1,Patent,"Meat,Cultivated",,,,,"The present invention relates to compositions and methods for mass production of pluripotent stem cells derived from non-human-animal, particularly in a form of aggregates suitable for a variety of uses, particularly to mass production of aggregates of bovine-derived pluripotent stem cells for use in cell grown meat cultures and in production of cell based meat products.",,Cultivated Meat Library,,,2022,7/14/22,USPTO,20220220439:A1,5/14/20,US Patent,United States Patent and Trademark Office,US:17/610485,2022-08-26,2023-02-02
Santo_2022,"Santo VE,Nguyen CM,Haque MA,Bignone P",Good Meat Inc,Food products comprising cultivated bovine cells and methods thereof,https://patentimages.storage.googleapis.com/54/76/cb/a01eef6702de48/US20220183316A1.pdf; https://patents.google.com/patent/US20220183316A1/en?oq=US20220183316A1,Patent,"Meat,Cultivated",,,,,Provided herein are bovine cells that are adapted to grow in growth medium that contains low-serum or no serum and methods thereof. Also provided are food products made from bovine cells cultivated in vitro and methods for harvesting the cells.,,Cultivated Meat Library,,,2022,6/16/22,USPTO,20220183316:A1,12/15/21,US Patent,United States Patent and Trademark Office,US:17/551983,2022-08-26,2023-02-02
Johnson_2022a,"Johnson KL,Benton PR,Copeland CG,Dhadwar SS,Firpo MT,Gibbons ME,Hsu SK,Sierra R,Kayser KJ",Upside Foods Inc,Nutrient media for the production of slaughter-free meat,https://patentimages.storage.googleapis.com/8e/c4/32/bf33718d352c69/US20220073870A1.pdf; https://patents.google.com/patent/US20220073870A1/en?oq=US20220073870A1,Patent,"Meat,Cultivated",,,Cell culture media,,"Provided herein are nutrient media formulations and engineered growth factors, and methods thereof, useful for the production of slaughter-free meat.",,Cultivated Meat Library,,,2022,3/10/22,USPTO,20220073870:A1,6/7/21,US Patent,United States Patent and Trademark Office,US:17/341220,2022-08-26,2023-02-02
Wyrwas_2021,"Wyrwas B,Chen IH",Finless Foods Inc.,Systems and methods for live fish tissue preservation,https://patentimages.storage.googleapis.com/75/0c/bf/274923ff23c5fb/WO2021173535A1.pdf; https://patents.google.com/patent/WO2021173535A1/en?oq=WO2021173535A1,Patent,"Meat,Cultivated",,,,,"The present disclosure describes systems, devices, compositions, and methods for live tissue preservation.",,Cultivated Meat Library,,,2021,9/2/21,WIPO,2021173535:A1,2/23/21,World Patent,World Intellectual Property Organization,PC:T/US2021/019210,2022-08-26,2023-02-02
Faram_2021,"Faram R,Bollag B,Emawodia J,Wallis S",HigherSteaks Limited,Systems and methods for cell conversion,https://patentimages.storage.googleapis.com/8b/f7/7b/07da5b362e2b79/WO2021250407A1.pdf; https://patents.google.com/patent/WO2021250407A1/en?oq=WO2021250407A1,Patent,"Meat,Cultivated",,,,,The present disclosure provides methods and systems for the large-scale generation of differentiated stem cells. The present disclosure is also directed to systems and methods for expanding and differentiating stem cells in large-scale culture using a bioreactor chamber.,,Cultivated Meat Library,,,2021,12/16/21,WIPO,2021250407:A1,6/9/21,World Patent,World Intellectual Property Organization,PC:T/GB2021/051437,2022-08-26,2023-02-02
Vila_2021a,"Vila M,Lull T",Biotech Foods S.L.,Process and device for production of cultured meat,https://patentimages.storage.googleapis.com/56/05/ec/cfc41d894d2e23/WO2021250292A1.pdf; https://patents.google.com/patent/WO2021250292A1/en?oq=WO2021250292A1,Patent,"Meat,Cultivated",,,,,"The present invention relates to a process for the production of in vitro engineered tissues, also known in the art as cultured meat, cultivated meat, cell based meat, cellular meat and/or clean meat, and a device for the production of the same. The process comprises the steps of: loading sterilizable 3D scaffolds into a seeding chamber; sterilizing the scaffolds in the seeding chamber; seeding the scaffolds by loading a first volume of culture medium into the seeding chamber, wherein the first volume of culture medium has a density of cells in suspension of 5,000 to 25,000 cell/cm2, more preferably from 10,000 to 16,000 cm2 such that the scaffolds are immersed in the culture medium; leaving the scaffolds and the first volume of culture medium in the seeding chamber for a period of 2-24 hours at 18-37 еЎC; loading a second volume of culture medium into a bioreactor, the second volume being greater than the first volume of the culture medium wherein an incubation position of one or more movable grids inside the bioreactor confines the scaffolds to the second volume of the culture medium such that they remain immersed during an incubation step, wherein the scaffolds and the second volume of culture medium are incubated in the bioreactor for a period of 10-60 days at 18-37 еЎC and at a pH between 6.5-8.0, more preferably 7.0-7.4. The invention also relates to a device for the production of cultured meat.",,Cultivated Meat Library,,,2021,12/16/21,WIPO,2021250292:A1,6/12/20,World Patent,World Intellectual Property Organization,PC:T/ES2020/070387,2022-08-26,2023-02-02
Vila_2021b,"Vila M,Cortizo D",Biotech Foods S.L.,Edible and sterilizable porous 3d scaffold and uses thereof,https://patentimages.storage.googleapis.com/5f/a6/70/1b18606eedb999/WO2021250291A1.pdf; https://patents.google.com/patent/WO2021250291A1/en?oq=WO2021250291A1,Patent,"Meat,Cultivated",,,,,"The present invention relates to edible and sterilizable macroporous three-dimensional (3D) tissue engineering scaffolds comprising a network of cross-linked biocompatible polymer, preferably a natural polymer. Moreover, the scaffold of the invention further comprises additives and living cells which adhere and proliferate, colonizing the entire surface of the scaffold and giving rise to a raw material for the later formation of tissue with a high nutritive content and/or cultured meat, that may be subsequently processed into food for animal or human consumption without requiring modification or removal of the cells from the scaffold. The invention also relates to a method of using the scaffolds to make cultured meat and/or tissues to be processed as food comprising the scaffold.",,Cultivated Meat Library,,,2021,12/16/21,WIPO,2021250291:A1,6/12/20,World Patent,World Intellectual Property Organization,PC:T/ES2020/070386,2022-08-26,2023-02-02
Vila_2021c,"Vila M,Cortizo D",Biotech Foods S.L.,Method for the synthesis of an edible and sterilizable porous 3d scaffold suitable for use in the large-scale production of cultured meat,https://patentimages.storage.googleapis.com/3f/1a/3c/860718ed04ede5/WO2021250290A1.pdf; https://patents.google.com/patent/WO2021250290A1/en?oq=WO2021250290A1,Patent,"Meat,Cultivated",,,,,"The present invention relates to a method for the large-scale synthesis of an edible and hot steam sterilizable macroporous three-dimensional (3D) scaffold which comprises biocompatible polymers with interconnected pores as a support material for adherent cell growth, proliferation and differentiation, which may be used to obtain tissue with nutritive content and/or cultured meat. These scaffolds are suitable for supporting cell tissue growth for biomedical or food applications.",,Cultivated Meat Library,,,2021,12/16/21,WIPO,2021250290:A1,6/12/20,World Patent,World Intellectual Property Organization,PC:T/ES2020/070385,2022-08-26,2023-02-02
Juarez_2021,Juarez MV,Biotech Foods SL,Bioreactor and method for the production of adherent cell cultures employing said bioreactor,https://patentimages.storage.googleapis.com/ad/48/a7/4897e1d37f71a6/EP3907274A1.pdf; https://patents.google.com/patent/EP3907274A1/en?oq=EP3907274A1,Patent,"Meat,Cultivated",,,,,"Bioreactor and production process of adherent cell cultures that uses the bioreactor. The bioreactor (1) comprises a recipient (2) with a cover (3), and further comprises internally a bracket (4) from which protrudes at least one tray (5) that supports a three-dimensional polymer-based element (6) mounted on it, such that when the bioreactor (1) is filled with a culture medium the at least one tray (5) and the three-dimensional polymer-based element (6) are surrounded by the culture medium.The process comprises the following steps:- the bracket (4), with the at least one tray (5) of the bioreactor (1), with a three-dimensional polymer-based element (6) is immersed in the culture medium,- cells that are desired to be planted on the three-dimensional polymer-based element (6) are inoculated from outside the bioreactor (1), and- the culture is left in the bioreactor (1) so that the cellular proliferation is produced.",,Cultivated Meat Library,,,2021,11/10/21,EPO,3907274:A1,1/4/19,European Patent,European Patent Office,EP:19718771.9A,2022-08-26,2023-02-02
Kozlovski_2021,Kozlovski D,"Meatech 3D, Ltd.",Bioprinter print head,https://patentimages.storage.googleapis.com/f6/f8/88/62dbb5f4267071/WO2021178928A3.pdf; https://patents.google.com/patent/WO2021178928A3/en?oq=WO2021178928A3,Patent,"Meat,Cultivated",,,,,"The disclosure relates to print heads for use in the bioprinting of biostructures having predetermined two (2D)- and/or three dimensional (3D) pattern of cells. Specifically, the disclosure relates to print heads operable in a bioprinting systems for the fabrication of edible biostructures using drop-on-demand.",,Cultivated Meat Library,,,2021,10/21/21,WIPO,2021178928:A3,3/5/21,World Patent,World Intellectual Property Organization,PC:T/US2021/021254,2022-08-26,2023-02-02
Fima_2021a,Fima S,"Meatech 3D, Ltd.",Physical manipulation of cultured muscle tissue,https://patentimages.storage.googleapis.com/69/be/a1/8d6c9492511bd1/WO2021055996A1.pdf; https://patents.google.com/patent/WO2021055996A1/en?oq=WO2021055996A1,Patent,"Meat,Cultivated",,,,,"The disclosure relates to methods, systems and compositions for physically manipulating a muscle tissue culture either mechanically, or manually, or both. Specifically, the disclosure relates to systems and methods of physically manipulating, either mechanically or manually, a resilient container of bioprinted tissue culture having non-random three dimensional cell structure by elongation, compression, torque and shear of the tissue culture.",,Cultivated Meat Library,,,2021,3/25/21,WIPO,2021055996:A1,9/22/20,World Patent,World Intellectual Property Organization,PC:T/US2020/052063,2022-08-26,2023-02-02
Fima_2021b,"Fima S,Idan GAL","Meatech 3D, Ltd.",Cultured edible meat fabrication using bio-printing,https://patentimages.storage.googleapis.com/c0/9e/4f/8c165f0061bfa5/WO2021007359A1.pdf; https://patents.google.com/patent/WO2021007359A1/en?oq=WO2021007359A1,Patent,"Meat,Cultivated",,,,,"The disclosure relates to methods, systems and compositions for use in the bio printing of biostructures having predetermined two (2D)- and/or three dimensional (3D) pattern of cells Specifically, the disclosure relates to methods and compositions implementable in a computerized bio-printing systems for the fabrication of edible bio structures using drop-on-demand, having a predetermined three dimensional structure that can be assembled from 2D patterns with cells and extracellular material (ECM) incorporated therein whether in the presence of biocompatible scaffolding or not, in a non-random two- and three dimensional pattern.",,Cultivated Meat Library,,,2021,1/14/21,WIPO,2021007359:A1,7/8/20,World Patent,World Intellectual Property Organization,PC:T/US2020/041265,2022-08-26,2023-02-02
Ling_2021,"Ling KY,Sriram S",Shiok Meats Pte Ltd,Isolation and cultivation of muscle and fat cells from crustaceans,https://patentimages.storage.googleapis.com/74/06/59/016123720f7ec8/AU2020209356A1.pdf; https://patents.google.com/patent/AU2020209356A1/en?oq=AU2020209356A1,Patent,"Meat,Cultivated",,,,,"The present disclosure is directed to methods for the formation and production of renewable muscle and/or fat primary cell lines, immortalized cell lines, and stem cell lines from shrimp, prawn, crab, crayfish, and/or lobster species and the cell lines themselves as well as human and animal consumable meat products produced therefrom.",,Cultivated Meat Library,,,2021,9/9/21,,AU:2020209356:A1,1/13/20,Patent,,AU:2020209356A,2022-08-26,2023-02-02
Chin_2021b,"Chin PS,Chan KY,Poon CH",Avant Meats Co Ltd,Cell hydrolysate composition from cultivated cells and applications thereof,https://patentimages.storage.googleapis.com/20/f0/a1/a1846bc139ea7a/US20210246480A1.pdf; https://patents.google.com/patent/US20210246480A1/en?oq=US20210246480A1,Patent,"Meat,Cultivated",,,,,"A cell hydrolysate composition, the composition comprising substantially all protein polypeptides and/or polypeptide fragments derived substantially from all the proteins in a cell from an in vitro cell culture.",,Cultivated Meat Library,,,2021,8/12/21,USPTO,20210246480:A1,4/28/21,US Patent,United States Patent and Trademark Office,US:17/243493,2022-08-26,2023-02-02
Chin_2021a,"Chin PS,Chan KY,Li CW",Avant Meats Company Limited,"System for producing cultivated meats, tissues and associated products from cells",https://patentimages.storage.googleapis.com/3c/41/01/f98c4a431b71b5/WO2021111270A1.pdf; https://patents.google.com/patent/WO2021111270A1/en?oq=WO2021111270A1,Patent,"Meat,Cultivated",,,,,A cell culture system that enhances cell production and reduces the cost of growing cell culture. The system maintains an optimal culture condition by stabilizing the level of nutrients and/or maintaining a minimum level of growth inhibitors in a culture medium. The system comprises a cell culture unit configured to hold at least one type of cell; a fresh medium unit configured to supply and receive the first fluid to the cell culture unit; a waste removal unit configured to supply and receive a second fluid from the fresh medium unit; and a dialysis unit configured to extract the waste from the first fluid to the second fluid and supply nutrient from the second fluid to the first fluid.,,Cultivated Meat Library,,,2021,6/10/21,WIPO,2021111270:A1,11/30/20,World Patent,World Intellectual Property Organization,PC:T/IB2020/061257,2022-08-26,2023-02-02
네타 라본_2021,"네타 라본,일로나 코렌",,"High-quality cultured meat, composition and method for producing same",https://patentimages.storage.googleapis.com/cc/5e/b8/92e708710080ed/KR20210090632A.pdf; https://patents.google.com/patent/KR20210090632A/en?oq=KR20210090632A,Patent,"Meat,Cultivated",,,,,"The present invention relates to the field of cultured meat, also called clean meat or cell-based meat, in particular to a cell culture for producing cultured meat having sensory properties (color, taste and aroma) at least similar to whole animal-derived meat and improved nutritional value. The present invention also provides a cell culture and a culture medium for producing high-quality cultured meat.",,Cultivated Meat Library,,,2021,7/20/21,,KR:20210090632:A,11/14/19,Patent,,KR:1020217014540A,2022-08-26,2023-02-02
Bodanovsky_2021,"Bodanovsky A,Lavon N,Toubia D",Aleph Farms Ltd,Pluripotent cell aggregates and use thereof,https://patentimages.storage.googleapis.com/b3/2e/a8/115bc9c62ad83c/AU2020273728A1.pdf; https://patents.google.com/patent/AU2020273728A1/en?oq=AU2020273728A1,Patent,"Meat,Cultivated",,,,,"The present invention relates to compositions and methods for mass production of pluripotent stem cells derived from non-human-animal, particularly in a form of aggregates suitable for a variety of uses, particularly to mass production of aggregates of bovine-derived pluripotent stem cells for use in cell grown meat cultures and in production of cell based meat products.",,Cultivated Meat Library,,,2021,11/18/21,,AU:2020273728:A1,5/14/20,Patent,,AU:2020273728A,2022-08-26,2023-02-02
Verstrate_2021,Verstrate P,Mosa Meat B.V.,Packaging of cultured tissue,https://patentimages.storage.googleapis.com/95/35/5d/10d29e4e8fc39f/WO2021158104A1.pdf; https://patents.google.com/patent/WO2021158104A1/en?oq=WO2021158104A1,Patent,"Meat,Cultivated",,,,,"The invention is in the field of cultured meat. In particular the invention is related to a method for aseptic packaging of cultured tissue and a system suitable for this method. The method comprises the steps of producing the cultured tissue, harvesting the cultured tissue, transferring the cultured tissue to a sterile package and sealing the sterile package, wherein all steps are executed under aseptic conditions.",,Cultivated Meat Library,,,2021,8/12/21,WIPO,2021158104:A1,2/3/21,World Patent,World Intellectual Property Organization,PC:T/NL2021/050067,2022-08-26,2023-02-02
Moutsatsou_2021,"Moutsatsou P,Cruz H,Klevernic I,Kolkmann A,Van Essen A",Mosa Meat B.V.,Serum-free medium for culturing a bovine progenitor cell,https://patentimages.storage.googleapis.com/10/2d/5b/e1ddc6bf916e15/WO2021158103A1.pdf; https://patents.google.com/patent/WO2021158103A1/en?oq=WO2021158103A1,Patent,"Meat,Cultivated",,,,,"A method for culturing a bovine progenitor cell, comprising the step of: culturing a bovine progenitor cell in a serum-free medium for culturing a bovine progenitor cell, wherein said serum-free medium comprises - an albumin; and - a fibroblast growth factor (FGF).",,Cultivated Meat Library,,,2021,8/12/21,WIPO,2021158103:A1,2/3/21,World Patent,World Intellectual Property Organization,PC:T/NL2021/050066,2022-08-26,2023-02-02
Genovese_2021,Genovese NJ,"Memphis Meats, Inc.",Use of tead proteins for production of cellular biomass,https://patentimages.storage.googleapis.com/3b/15/a5/accbc3842465f5/WO2021092587A1.pdf; https://patents.google.com/patent/WO2021092587A1/en?oq=WO2021092587A1,Patent,"Meat,Cultivated",,,,,"Provided herein are methods to increase the culture density and/or thickness of a cellular biomass in a cultivation infrastructure, and to promote anchorage-independent growth of a cellular biomass in a cultivation infrastructure. The methods comprise activating a TEAD protein, for example, by increasing cellular expression of the TEAD protein or by increasing cellular expression of a fusion protein comprising a DNA-binding domain (DBD) derived from a TEAD protein and a transcriptional activation domain (TAD) in the cellular biomass. In some embodiments, the cellular biomass is harvested from the cultivation infrastructure for the formulation of cell-grown food products or ingredients, such as animal meat manufactured from cells in an ex vivo process or for therapeutic applications such as organ or tissue transplantation or grafting.",,Cultivated Meat Library,,,2021,5/14/21,WIPO,2021092587:A1,11/9/20,World Patent,World Intellectual Property Organization,PC:T/US2020/059744,2022-08-26,2023-02-02
Kayser_2021,"Kayser KJ,Rease ML,Juhas ME,Joslin JM,Valeti US,Schulze EN",Upside Foods Inc,Characteristics of meat products,https://patentimages.storage.googleapis.com/2f/cc/9f/d95e9db337df20/US20210235733A1.pdf; https://patents.google.com/patent/US20210235733A1/en?oq=US20210235733A1,Patent,"Meat,Cultivated",,,,,"The present disclosure provides methods and compositions useful for the production of slaughter-free meat products, and the characterizations of the same. The slaughter-free meat products contain several points of distinction when compared to conventional meat procured by harvesting the tissue of a dead animal. Such points of distinction include, but are not limited to, significantly reduced or substantially no: steroid hormones, antibiotics, or microbial contamination; lower fat content; no vasculature; and extended shelf life both at room temperature and when refrigerated.",,Cultivated Meat Library,,,2021,8/5/21,USPTO,20210235733:A1,9/25/20,US Patent,United States Patent and Trademark Office,US:17/033635,2022-08-26,2023-02-02
Leung_2020,"Leung M,Godbole A,Engelmayr Jr GC,Genovese NJ,Valeti US,Carswell K","Memphis Meats, Inc.",Apparatuses and methods for preparing a comestible meat product,https://patentimages.storage.googleapis.com/15/5a/ec/588629b55f739f/WO2020243324A1.pdf; https://patents.google.com/patent/WO2020243324A1/en?oq=WO2020243324A1,Patent,"Meat,Cultivated",,,,,"The substrates, systems, and methods described herein relate to textured substrates for preparing a comestible meat product. Substrates and methods are described herein for controlling one or more of growth, adhesion, retention, and/or release of cells (e.g., of a cell sheet) on or from the surface of the substrate. A method of preparing a comestible meat product may include applying a plurality of non-human cells to at least one patterned texture substrate, growing the cells on the patterned texture substrate to form the comestible meat product, and separating the comestible meat product from the patterned texture substrate. The patterned texture allows for improved growth, adhesion, retention, and/or release of cells as compared to another surface not comprising the patterned texture. In some embodiments, the cell culture substrate surfaces include a plurality of regions corresponding to a plurality of patterned textures.",,Cultivated Meat Library,,,2020,12/3/20,WIPO,2020243324:A1,5/28/20,World Patent,World Intellectual Property Organization,PC:T/US2020/034949,2022-08-26,2023-02-02
Leung_2021,"Leung M,Warner M,Vanderpol RE,Hsiu TP,Carswell K",Upside Foods Inc,Apparatuses and systems for preparing a meat product,https://patentimages.storage.googleapis.com/c6/15/58/777278adacac36/US11147300.pdf; https://patents.google.com/patent/US11147300B2/en?oq=US11147300B2,Patent,"Meat,Cultivated",,,,,"The apparatuses described herein relate to preparation of a meat product. Apparatuses, systems comprising the apparatuses, and methods of making and use the systems and apparatuses are described herein. These are useful for controlling one or more of growth on and separation of a meat product from an enclosed substrate. The apparatuses and systems are configured to receive fluid and grow the meat product and/or separate the meat product from the substrate in a scalable manner.",,Cultivated Meat Library,,,2021,10/19/21,USPTO,11147300,11/20/20,US Patent,United States Patent and Trademark Office,US:17/100705,2022-08-26,2023-02-02
Elfenbein_2020b,"Elfenbein A,Kolbeck JL,Larson B","Wild Type, Inc.",Synthetic food compositions,https://patentimages.storage.googleapis.com/bb/d4/78/be1b34e8fb7bd3/WO2020123876A1.pdf; https://patents.google.com/patent/WO2020123876A1/en?oq=WO2020123876A1,Patent,"Cultivated,Seafood",,,,,"Systems and methods for producing food products including cultured food products. The cultured food products include sushi-grade fish meat, fish surimi, foie gras, and other food types. Various cell types are utilized to produce the food products and can include muscle, fat, and/or liver cells. The cultured food products are grown in pathogen-free culture conditions without exposure to toxins and other undesirable chemicals. The food products can be processed to provide a desired shape, texture and consistency.",,Cultivated Meat Library,,,2020,6/18/20,WIPO,2020123876:A1,12/12/19,World Patent,World Intellectual Property Organization,PC:T/US2019/066089,2022-08-26,2023-02-02
Lavon_2020,"Lavon N,Aviv M,Roth Y,Toubia D",Aleph Farms Ltd.,Cultivation systems and methods for large-scale production of cultured food,https://patentimages.storage.googleapis.com/c2/1a/78/543a80fdef50be/WO2020222239A1.pdf; https://patents.google.com/patent/WO2020222239A1/en?oq=WO2020222239A1,Patent,"Meat,Cultivated",,,,,"Systems and methods for producing cultured food products such as cultured meat in a form of meat cut or offal are provided, comprising growing non-human-animal adherent cells on edible scaffold(s) in a cultivation system. The cultivation system typically comprises a plurality of cell culture bioreactors receiving medium at a controlled flow rate adjusted to nourish the non-human-animal adherent cells.",,Cultivated Meat Library,,,2020,11/5/20,WIPO,2020222239:A1,4/30/20,World Patent,World Intellectual Property Organization,PC:T/IL2020/050484,2022-08-26,2023-02-02
Mullen_2020,"Mullen N,Park N,Jones C,Bowman T,Bignone P,Santo VE,Kambam P,Haque A,Amadi IM",Just Inc,In vitro avian food product,https://patentimages.storage.googleapis.com/11/77/19/188bb4cda2638f/US20200392461A1.pdf; https://patents.google.com/patent/US20200392461A1/en?oq=US20200392461A1,Patent,"Meat,Cultivated",,,,,"Provided herein are food products made in vitro from avian fibroblast cells and methods for harvesting the avian fibroblast cells. Particularly, an in vitro produced chicken product is produced. Also provided herein are methods of their production.",,Cultivated Meat Library,,,2020,12/17/20,USPTO,20200392461:A1,6/12/20,US Patent,United States Patent and Trademark Office,US:16/900719,2022-08-26,2023-02-02
Forgacs_2017,"Forgacs G,Marga FS,Norotte C",University of Missouri System,Self-assembling multicellular bodies and methods of producing a three-dimensional biological structure using the same,https://patentimages.storage.googleapis.com/fa/7a/2a/e8467234865c8a/US20170152474A1.pdf; https://patents.google.com/patent/US20170152474A1/en?oq=US20170152474A1,Patent,"Meat,Cultivated",,,,,"Structures and methods for tissue engineering include a multicellular body including a plurality of living cells. A plurality of multicellular bodies can be arranged in a pattern and allowed to fuse to form an engineered tissue. The arrangement can include filler bodies including a biocompatible material that resists migration and ingrowth of cells from the multicellular bodies and that is resistant to adherence of cells to it. Three-dimensional constructs can be assembled by printing or otherwise stacking the multicellular bodies and filler bodies such that there is direct contact between adjoining multicellular bodies, suitably along a contact area that has a substantial length. The direct contact between the multicellular bodies promotes efficient and reliable fusion. The increased contact area between adjoining multicellular bodies also promotes efficient and reliable fusion. Methods of producing multicellular bodies having characteristics that facilitate assembly of the three-dimensional constructs are also provided.",,Cultivated Meat Library,,,2017,6/1/17,USPTO,20170152474:A1,1/18/17,US Patent,United States Patent and Trademark Office,US:15/409034,2022-08-26,2023-02-02
Forgacs_2013,"Forgacs G,Marga F,Jakab KR",University of Missouri System,Engineered comestible meat,https://patentimages.storage.googleapis.com/06/a6/8f/3667fe5281696e/US20130029008A1.pdf; https://patents.google.com/patent/US20130029008A1/en?oq=US20130029008A1,Patent,"Meat,Cultivated",,,,,"Provided are engineered meat products formed as a plurality of at least partially fused layers, wherein each layer comprises at least partially fused multicellular bodies comprising non-human myocytes and wherein the engineered meat is comestible. Also provided are multicellular bodies comprising a plurality of non-human myocytes that are adhered and/or cohered to one another; wherein the multicellular bodies are arranged adjacently on a nutrient-permeable support substrate and maintained in culture to allow the multicellular bodies to at least partially fuse to form a substantially planar layer for use in formation of engineered meat. Further described herein are methods of forming engineered meat utilizing said layers.",,Cultivated Meat Library,,,2013,1/31/13,USPTO,20130029008:A1,7/26/12,US Patent,United States Patent and Trademark Office,US:13/558928,2022-08-26,2023-02-02
Engelmayr_2021,"Engelmayr, G.C., Fischer, I.E., Bergeron, A., Shahrokhi, S., Paton, W.C., Maciag, V., Radstrom, X.G., Beville, A., Yaman, R.","Mission Barns, Inc",Scalable bioreactor systems and related methods of use,https://patentimages.storage.googleapis.com/94/cc/a1/f1cec81d1f11a3/WO2021207293A1.pdf,Patent,"Meat,Cultivated",,,,,Bioreactors configured to scale-up the production of greater quantities of cells at relatively low cost are provided. These bioreactors may be utilized in the production of large-scale quantities of cell-based meat and cell-based fat. The bioreactors may be reusable and may have a high surface area-to-volume ratio for adherent cell expansion. The bioreactors may be capable of yielding a large number of adherent cells per bioreactor unit.,,Cultivated Meat Library,,,2021,10/14/21,WIPO,2021207293A1,4/6/21,World Patent,World Intellectual Property Organization,,2022-08-26,2023-02-02
Leung_2022,"Leung M,Benton PR,Copeland CG,Hsu SK,Johnson KL",Upside Foods Inc,"Systems, devices, and methods for sterilizing bioreactors and culture media",https://patentimages.storage.googleapis.com/02/73/4b/266750ada0eeba/US20220056394A1.pdf; https://patents.google.com/patent/US20220056394A1/en,Patent,"Meat,Cultivated",,,,,"Disclosed herein are systems, devices, and methods for sterilization. In some variations, a method of sterilizing a bioreactor system may comprise circulating a sterilant in a bioreactor and an enclosed vessel in fluidic communication with the bioreactor. The enclosed vessel may comprise cell culture media. The sterilant may be circulated for a dwell time sufficient to sterilize at least one of the bioreactor, the vessel, and the cell culture media.",,Cultivated Meat Library,,,2022,2/24/22,USPTO,20220056394:A1,8/18/20,US Patent,United States Patent and Trademark Office,US:16/996567,2022-08-26,2023-02-02
