Name,Authors,Full journal,Title,URLs,Item type,Sub-type,Topic area,Molecules,Keywords (GFI),Technology sector,Common Name,Abstract,Keywords,Resource,Creative Commons License,Cell Lines (developed or characterized),Cell Lines (used),Species,Notes (public),Publication year,Volume,Issue,Pages,Journal,Publisher,Date published,Conference date,ISSN,ISSN (alt.),DOI,PMID,PMC ID,Copyright,Affiliation,Language,Editors,Institution,Edition,Book title,ISBN,ISBN (alt.),Series,Proceedings title,Eprint ID,Source,Created,Last Modified
Rubio_2020a,"Rubio NR,Xiang N,Kaplan DL",Nature communications,Plant-based and cell-based approaches to meat production,http://dx.doi.org/10.1038/s41467-020-20061-y; https://www.ncbi.nlm.nih.gov/pubmed/33293564; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7722853; https://doi.org/10.1038/s41467-020-20061-y; https://www.nature.com/articles/s41467-020-20061-y; https://www.nature.com/articles/s41467-020-20061-y.pdf,Journal Article,Review,"Plant-based,Cultivated,Meat",,,,,"Advances in farming technology and intensification of animal agriculture increase the cost-efficiency and production volume of meat. Thus, in developed nations, meat is relatively inexpensive and accessible. While beneficial for consumer satisfaction, intensive meat production inflicts negative externalities on public health, the environment and animal welfare. In response, groups within academia and industry are working to improve the sensory characteristics of plant-based meat and pursuing nascent approaches through cellular agriculture methodology (i.e., cell-based meat). Here we detail the benefits and challenges of plant-based and cell-based meat alternatives with regard to production efficiency, product characteristics and impact categories.",,"Cultivated Meat Library,GFI-funded Research",,,,,,2020,11,1,6276,Nat. Commun.,,2020-12-08,,2041-1723,,10.1038/s41467-020-20061-y,33293564,PMC7722853,,"Department of Biomedical Engineering, Tufts University, 4 Colby St., Medford, 02155, Massachusetts, USA. Department of Biomedical Engineering, Tufts University, 4 Colby St., Medford, 02155, Massachusetts, USA. david.kaplan@tufts.edu.",en,,,,,,,,,,,2022-04-27,2023-01-13
Palmieri_2020,"Palmieri N,Angela PM,Lupi C",British Food Journal,Consumer acceptance of cultured meat: some hints from Italy,https://doi.org/10.1108/BFJ-02-2020-0092; http://dx.doi.org/10.1108/BFJ-02-2020-0092; https://www.emerald.com/insight/content/doi/10.1108/BFJ-02-2020-0092/full/html,Journal Article,Research Article,"Cultivated,Meat",,Consumer preferences,,,"Purpose The purpose of this paper is to contribute to the current literature on consumer acceptance of cultured meat and to investigate the main factors that might affect it.Design/methodology/approach Data were collected from a sample of 490 consumers in Italy, using a web-based survey. The empirical analysis follows an exploratory approach based on the training and checking of a random forest model.Findings An important finding of this study concerns the overall positive perception of cultured meat on the part of the interviewees in a country that is the fifth-largest meat producer at the European level. Age, environmental and ethical issues, and scepticism about new food technologies are the most important factors that guide consumer acceptance of cultured meat. The results suggest that in order to increase cultured meat acceptance it would be important to inform and educate consumers towards new food and new food production methods.Research limitations/implications The sample analysed in this study is not representative of the whole national population, as it happens in most papers dealing with new food.Originality/value Although the conclusions of this exploratory study cannot be over-generalized, the results provide interesting insights on how to increase cultured meat acceptance in view of the possible development of a new market for cultured meat.",,Cultivated Meat Library,,,,,,2020,123,1,109-123,British Food Journal,Emerald Publishing Limited,2020-01-01,,0007-070X,,10.1108/BFJ-02-2020-0092,,,,,,,,,,,,,,,,2022-04-27,2022-04-27
Jönsson_2020,Jönsson E,Transactions ,On breweries and bioreactors: Probing the “present futures” of cellular agriculture,https://onlinelibrary.wiley.com/doi/10.1111/tran.12392; http://dx.doi.org/10.1111/tran.12392; https://onlinelibrary.wiley.com/doi/abs/10.1111/tran.12392; https://onlinelibrary.wiley.com/doi/pdf/10.1111/tran.12392; https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Ftran.12392; https://rgs-ibg.onlinelibrary.wiley.com/doi/abs/10.1111/tran.12392; https://rgs-ibg.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/tran.12392,Journal Article,Review,Cultivated,,Philosophy,,,"Set against the attention given to animal-agricultural geographies and animal agriculture's environmental impacts, proponents of cultured meat (i.e., biomass cultured from cells) and genetic modification-based ?cellular-agricultural? technologies today promise that the production of animal products could become more sustainable if animals were taken out of the equation. Though future visions for such a shift have often centred on how much land could be saved through the deployment of new biotechnologies, proponents and researchers today increasingly also foreground the future economic geographies and sites of production that these should engender. In this paper I explore such envisioned geographies, building on 24 interviews with cellular-agricultural actors and on observations during meetings. Essentially echoing an ecomodernist embrace of the Anthropocene as a great opportunity, cellular-agriculturalists frequently promise that the technologies they advocate should offer the possibility to unfetter the production of animal products from spatial constraints. (Post-)animal products can now be produced anywhere. But in assuring that products and production processes should feel familiar, they frequently also describe a world where microbrewery-like facilities and transparent production processes supplant industrialised animal agriculture's remote slaughterhouses. Hence, a kind of craft-emphasising ?recombinant? ecomodernism emerges. In exploring cellular-agricultural future visions, my aim is not to determine whether, or which, particular visions might be realised. Rather, I centre on descriptions of future spaces of production and economic geographies in order to explore contemporary biotech boosterism. Engaging with these visions, as well as the often unchronicled creative destruction that they could entail, thus allows me to contribute to an emerging set of texts that scrutinise the current and intended political economy (and ecology) of cellular agriculture, as well as texts emphasising the necessity of pondering Anthropocene spatialities.",,Cultivated Meat Library,,,,,,2020,45,4,921-936,Trans. Inst. Br. Geogr.,Wiley,2020-12,,0020-2754,1475-5661,10.1111/tran.12392,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,Social and Economic Geography Uppsala University Gotland Sweden,en,,,,,,,,,,,2022-04-27,2022-04-27
Miotto_2017,"Miotto M,Gouveia R,Abidin FZ,Figueiredo F,Connon CJ",ACS applied materials & interfaces,Developing a Continuous Bioprocessing Approach to Stromal Cell Manufacture,http://dx.doi.org/10.1021/acsami.7b09809; https://www.ncbi.nlm.nih.gov/pubmed/29145726; https://doi.org/10.1021/acsami.7b09809; https://dx.doi.org/10.1021/acsami.7b09809; https://pubs.acs.org/doi/pdf/10.1021/acsami.7b09809,Journal Article,Research Article,,,,Bioprocess design,,"To this day, the concept of continuous bioprocessing has been applied mostly to the manufacture of molecular biologics such as proteins, growth factors, and secondary metabolites with biopharmaceutical uses. The present work now sets to explore the potential application of continuous bioprocess methods to source large numbers of human adherent cells with potential therapeutic value. To this purpose, we developed a smart multifunctional surface coating capable of controlling the attachment, proliferation, and subsequent self-detachment of human corneal stromal cells. This system allowed the maintenance of cell cultures under steady-state growth conditions, where self-detaching cells were continuously replenished by the proliferation of those remaining attached. This facilitated a closed, continuous bioprocessing platform with recovery of approximately 1% of the total adherent cells per hour, a yield rate that was maintained for 1 month. Moreover, both attached and self-detached cells were shown to retain their original phenotype. Together, these results represent the proof-of-concept for a new high-throughput, high-standard, and low-cost biomanufacturing strategy with multiple potentials and important downstream applications.",cell self-release; continuous bioprocessing; corneal stromal cells; peptide amphiphiles; retinoic acid; smart materials,Cultivated Meat Library,,,,,,2017,9,47,41131-41142,ACS Appl. Mater. Interfaces,,2017-11-29,,1944-8244,1944-8252,10.1021/acsami.7b09809,29145726,,,"Institute of Genetic Medicine, Newcastle University , International Centre for Life, Central Parkway, Newcastle-upon-Tyne NE1 3BZ, United Kingdom. Department of Ophthalmology, Royal Victoria Infirmary , Newcastle-upon-Tyne NE1 4LP, United Kingdom.",en,,,,,,,,,,,2022-04-27,2022-04-27
Szejda_2021b,"Szejda K,Stumpe M,Raal L,Tapscott CE",Frontiers in Sustainable Food Systems,South African Consumer Adoption of Plant-Based and Cultivated Meat: A Segmentation Study,https://www.frontiersin.org/articles/10.3389/fsufs.2021.744199; http://dx.doi.org/10.3389/fsufs.2021.744199; https://www.frontiersin.org/articles/10.3389/fsufs.2021.744199/full,Journal Article,Research Article,"Plant-based,Cultivated,Meat",,Consumer preferences,,,"The purpose of this study was to assess the likelihood of consumer adoption of plant-based and cultivated meat in South Africa as a pathway to a healthy, sustainable, and equitable food supply. We recruited a large sample of South Africans representative across age (18–61), gender, race, and income to participate in an online survey. Participants responded to a range of measures including adoption indicators, estimated yearly intake, motivators for purchasing, desired product characteristics, preferred species, and sociodemographics. We found a high degree of openness to both products. For plant-based meat, 67% were highly likely to try and 59% were highly likely to purchase. For cultivated meat, 60% were highly likely to try and 53% were highly likely to purchase. The highest acceptance was amongst the younger generations: 60% of born-frees, 62% of millennials, and 53% of Gen X were highly likely to purchase plant-based meat and 55% of born-frees, 55% of millennials, and 46% of Gen X were highly likely to purchase cultivated meat. For the general population, we observed that future meat intake was estimated to be split equally among the three meat categories (conventional, cultivated, and plant-based). We found early adopters (those highly likely to purchase) to be quite similar in attitudinal and sociodemographic characteristics in comparison to the general population. The study findings suggest that both plant-based and cultivated meat could be viable market-based options for improving the food system in South Africa, as consumers across all segments of society, and especially amongst the younger population, indicated broad acceptance.",,"Cultivated Meat Library,Deep dive: Cultivated meat end products",,,,,,2021,5,,,Frontiers in Sustainable Food Systems,,2021,,2571-581X,,10.3389/fsufs.2021.744199,,,,,,,,,,,,,,,,2022-08-26,2023-01-30
Szejda_2022,"Szejda K,Stumpe M,Liu Y,Urbanovich T",,"Plant-based and Cultivated Meat Adoption in Egypt, Kenya, and Nigeria",https://www.credenceinstitute.org/_files/ugd/e40e4e_ec6909e70bc242e894d42d5eb34f85fb.pdf,Report,White Paper,"Plant-based,Cultivated,Meat",,Consumer preferences,,,,,"Cultivated Meat Library,Deep dive: Cultivated meat end products",,,,,,2022,,,,,,2022-06,,,,,,,,,,,North Mountain Consulting Group,,,,,,,,,2022-08-26,2023-01-30
Ren_2022b,"Ren R,Fan Y,Peng Z,Wang S,Jiang Y,Fu L,Cao J,Zhao S,Wang H",Cell reports,Characterization and perturbation of CTCF-mediated chromatin interactions for enhancing myogenic transdifferentiation,http://dx.doi.org/10.1016/j.celrep.2022.111206; https://www.ncbi.nlm.nih.gov/pubmed/35977522; https://linkinghub.elsevier.com/retrieve/pii/S2211-1247(22)01023-3; https://www.sciencedirect.com/science/article/pii/S2211124722010233,Journal Article,Research Article,,MyoD,Myogenesis,Cell line development,"Pig, Chicken","Expression of key transcription factors can induce transdifferentiation in somatic cells; however, this conversion is usually incomplete due to undefined intrinsic barriers. Here, we employ MyoD-induced transdifferentiation of fibroblasts as a model to illustrate the chromatin structures that impede the cell-fate transition. Focusing on the three-dimensional (3D) chromatin interactions, we show that MyoD directly establishes chromatin loops to activate myogenic transcriptional program. Similarly, dynamic changes of CTCF-mediated chromatin interactions are favorable for fibroblast-to-myoblast conversion. However, a substantial portion of CTCF-mediated chromatin interactions remain stable, and the associated genes are steady in expression and enriched for fibroblast function that may restrict cell-identity transformation. Temporal CTCF depletion can interrupt the resistant chromatin loops to enhance myogenic transdifferentiation in mice, pig, and chicken fibroblasts. Therefore, during induced transdifferentiation, the transcription factor can directly reorganize the 3D chromatin interactions, and perturbation of CTCF-mediated genome topology may resolve the limitations of cell fate transitions.",CP: Molecular biology; CP: Stem cell research; CTCF; HiChIP; MyoD; chromatin interaction; fibroblast; myogenic; scRNA-seq; transdifferentiation,Cultivated Meat Library,,,,"Sus scrofa,Gallus gallus",,2022,40,7,111206,Cell Rep.,,2022-08-16,,2211-1247,,10.1016/j.celrep.2022.111206,35977522,,,"Key Laboratory of Agricultural Animal Genetics, Breeding, and Reproduction of the Ministry of Education, College of Animal Science and Technology, Huazhong Agricultural University, Wuhan, China; College of Animal Science and Technology, Shandong Agricultural University, Taian, China. Key Laboratory of Agricultural Animal Genetics, Breeding, and Reproduction of the Ministry of Education, College of Animal Science and Technology, Huazhong Agricultural University, Wuhan, China. Key Laboratory of Agricultural Animal Genetics, Breeding, and Reproduction of the Ministry of Education, College of Animal Science and Technology, Huazhong Agricultural University, Wuhan, China; College of Animal Science and Technology, Shandong Agricultural University, Taian, China. Electronic address: wangheng@mail.hzau.edu.cn.",en,,,,,,,,,,,2022-08-26,2022-09-08
Lee_2022e,"Lee Y,Lee SY,Yun SH,Jung JW,Kim JH,Kim WH,Choi JS,Kim GD,Joo ST,Choi IH,Hur SJ",Food Science of Animal Resources,"Review of the current research on the development of cultured meat, blood, and fetal bovine serum",https://doi.org/10.5851/kosfa.2022.e46,Journal Article,Review,"Cultivated,Meat",,FBS,Cell culture media,,"The purpose of this review is to summarize studies that investigate blood and the main components of fetal bovine serum (FBS) in vertebrates, including major livestock, and review the current research on commercializing cultured meat. Detailed research on FBS is still lacking; however, some studies have shown that FBS consists of proteins, carbohydrates, growth factors, cytokines, fats, vitamins, minerals, hormones, non-protein nitrogen, and inorganic compounds. However, there are few studies on how the composition of FBS differs from blood or serum composition in adult animals, which is probably one of the main reasons for not successfully replacing FBS. Moreover, recent studies on the development of FBS replacers and serum-free media have shown that it is difficult to conclude whether FBS has been completely replaced or serum-free media have been developed successfully. Our review of the industrialization of cultured meat reveals that many basic studies on the development of cultured meat have been conducted, but it is assumed that the mass production technology needed for industrialization has not yet been developed. Therefore, developing inexpensive and edible media is necessary for the successful industrialization of cultured meat.",,Cultivated Meat Library,,,,,,2022,,,,Food Science of Animal Resources,,2022-08-16,,,,10.5851/kosfa.2022.e46,,,,,,,,,,,,,,,,2022-08-26,2022-09-08
Tuomisto_2022a,"Tuomisto HL,Allan SJ,Ellis MJ",The Science of the total environment,Prospective life cycle assessment of a bioprocess design for cultured meat production in hollow fiber bioreactors,http://dx.doi.org/10.1016/j.scitotenv.2022.158051; https://www.ncbi.nlm.nih.gov/pubmed/35985596; https://linkinghub.elsevier.com/retrieve/pii/S0048-9697(22)05150-6; https://pdf.sciencedirectassets.com/271800/AIP/1-s2.0-S0048969722051506/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEDUaCXVzLWVhc3QtMSJIMEYCIQD90yjoQ2H4L%2FErJlYkXZ%2F4bZGNihk8ACIibRaRcPBwJgIhAOZoeyZ4Rj7BNZ%2BRXSxdK%2BRgUqTxY4u7cv9kcuyknJcnKtsECK7%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEQBRoMMDU5MDAzNTQ2ODY1IgxAss1%2F3u%2B1ZAfMpjoqrwRJN4oG1QXAfDJ6UPukpagfUvWRZKXgXz1RLNBjXfBu87qCjB05a616xkBOqYc60b0vjR0vueyEKFzysGQbdJUO5AcnpVjyv%2BHbAosKvb3vpP9L%2BfpL8DQf6b850ram7H2Vk%2Fa5%2BVJqYJ91%2FFN8nTfy39uuvS3IyigktQbTMJhIUxJrsprYP7c9OjqWsLS4A%2FC5OYDHuar63PzJ6FvCZoaC1Il9zaeWOfRLQx6pAYDz58j5H0gocWjNFH29E%2FR2OK09%2Bd%2FkTaRdveQw6JInyZTd9FeGLGEGYnCv%2BE3XGLQVKXradqhzbwAeRe5y%2Fkbno4jN3i2U2uURgAc22SysSPLhEoMrTzy508KQzsGplUh6lsXRgIlS5UNsDQCiqHpf9k7OZuKIfwCNW2EHpFSu65wMPnqyrhku46Xsh%2FQMwegTsSImrlWE5FEXjBPYTPmc5ukJm57cpGW2vGAPRZIfgpQMtfWcoE8LwKbsrfgtFinIc%2BYB%2FLkMayFkfoVyxAUq7wXI5dKoORADK7ftfSVmxp23SAWpq0wnB3ZQzn9P7BDMcl6ZsJWbyF0AHyA5zin5dAV5PAmpw4wsSTQvGv4NCUi6jpS%2FeNPxxd4dSEiYyCqLFMVuKwCUrfjVEnkcvy06gK54t6WsoVh0jDix5vun43TDbGpTRYOI7pgF0dnWszyb0C%2FhU5Su7esINGWXTN8tQoyzhVFabgKpP30OtvHJ8ceMPfrbwJ%2FRB0KCsvrWJfCJMI%2BimpgGOqgBEPUDXUAseOTruNF8RaJm%2Feap3qYPa0XqVItxMq2JxX5oM1L%2BDjZaxkk963r38gyLCONkLX5WCXZYMS7M5JryCJlMfgkmMquTYfO1uggP%2FK4uALjQzWiMXMgdjTnKmIvvpsfWKZq%2FYHb3F5YJSE2uWiL5rlc4odDiL3vy7eaHlIGw7QI96ME1llWyu5phNNU072iOcxLJcIPnmQs4BcWNPLHxy9Qqg%2FBn&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20220824T215823Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYRMUYRNQR%2F20220824%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=31e90ea39e9f58b785b5e7b2b592157d17b520bb0ccde1f44429908abc7c379a&hash=0a2d368abe39a3faf9c6726d36c97600d22d6e8bba310534ae7f6f524d7934a4&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0048969722051506&tid=spdf-d82af1dd-090c-43a4-b5f0-b25edc61082f&sid=b419ae5b43cac14dba8a297767b38bc49d48gxrqa&type=client&ua=5155070853585705030d&rr=73ff595cfbd60948,Journal Article,Research Article,"Cultivated,Meat",,"Environmental impacts (alternative protein),Modeling",Bioprocess design,,"The aim of cellular agriculture is to use cell-culturing technologies to produce alternatives to agricultural products. Cultured meat is an example of a cellular agriculture product, made by using tissue engineering methods. This study aims to improve the understanding of the potential environmental impacts of cultured meat production by comparing between different bioprocess design scenarios. This was done by carrying out a life cycle assessment (LCA) for a bioprocess system using hollow fiber bioreactors, and utilizing bench-scale experimental data for C2C12 cell proliferation, differentiation and media metabolism. Scenario and sensitivity analyses were used to test the impact of changes in the system design, data sources, and LCA methods on the results to support process design decision making. We compared alternative scenarios to a baseline of C2C12 cells cultured in hollow fiber bioreactors using media consisting of DMEM with serum, for a 16-day proliferation stage and 7-day differentiation stage. The baseline LCA used the average UK electricity mix as the energy source, and heat treatment for wastewater sterilization. The greatest reduction in environmental impacts were achieved with the scenarios using CHO cells instead of C2C12 cells (64-67 % reduction); achieving 128 % cell biomass increase during differentiation instead of no increase (42-56 % reduction); using wind electricity instead of average UK electricity (6-39 % reduction); and adjusting the amino acid use based on experimental data (16-27 % reduction). The use of chemical wastewater treatment instead of heat treatment increased all environmental impacts, except energy demand, by 1-16 %. This study provides valuable insights for the cultured meat field to understand the effects of different process design scenarios on environmental impacts, and therefore provides a framework for deciding where to focus development efforts for improving the environmental performance of the production system.",Carbon footprint; Cell-based meat; Cultivated meat; Environment; Livestock; Novel foods,"Cultivated Meat Library,Cultivated Meat 101",CC BY,,,,,2022,,,158051,Sci. Total Environ.,,2022-08-16,,0048-9697,1879-1026,10.1016/j.scitotenv.2022.158051,35985596,,,"Future Sustainable Food Systems Research Group, Department of Agricultural Sciences, Faculty of Agriculture and Forestry, P.O. Box 27, University of Helsinki, 00014 Helsinki, Finland; Helsinki Institute of Sustainability Science (HELSUS), P.O. Box 4, University of Helsinki, 00014 Helsinki, Finland; Natural Resources Institute Finland (Luke), Latokartanonkaari 9, 00790 Helsinki, Finland. Electronic address: hanna.tuomisto@helsinki.fi. EPSRC Centre for Doctoral Training, Centre for Sustainable Chemical Technologies, University of Bath, Claverton Down, BA2 7AY Bath, UK; Department of Chemical Engineering, University of Bath, Claverton Down, BA2 7AY Bath, UK. Department of Chemical Engineering, University of Bath, Claverton Down, BA2 7AY Bath, UK.",en,,,,,,,,,,,2022-08-26,2023-05-03
Letcher_2022,"Letcher SM,Rubio NR,Ashizawa RN,Saad MK,Rittenberg ML,McCreary A,Ali A,Calkins OP,Trimmer BA,Kaplan DL",ACS biomaterials science & engineering,In vitro Insect Fat Cultivation for Cellular Agriculture Applications,http://dx.doi.org/10.1021/acsbiomaterials.2c00093; https://www.ncbi.nlm.nih.gov/pubmed/35977409; https://doi.org/10.1021/acsbiomaterials.2c00093; https://pubs.acs.org/doi/abs/10.1021/acsbiomaterials.2c00093,Journal Article,Research Article,"Cultivated,Meat",Fat or fatty acid,Adipogenesis,,,"Cell-cultured fat could provide important elements of flavor, nutrition, and texture to enhance the quality and therefore expand consumer adoption of alternative meat products. In contrast to cells from livestock animals, insect cells have been proposed as a relatively low-cost and scalable platform for tissue engineering and muscle cell-derived cultured meat production. Furthermore, insect fat cells have long been cultured and characterized for basic biology and recombinant protein production but not for food production. To develop a food-relevant approach to insect fat cell cultivation and tissue engineering, Manduca sexta cells were cultured and induced to accumulate lipids in 2D and 3D formats within decellularized mycelium scaffolding. The resultant in vitro fat tissues were characterized and compared to in vivo fat tissue data by imaging, lipidomics, and texture analyses. The cells exhibited robust lipid accumulation when treated with a 0.1 mM soybean oil emulsion and had ""healthier"" fat profiles, as measured by the ratio of unsaturated to saturated fatty acids. Mycelium scaffolding provided a simple, food-grade approach to support the 3D cell cultures and lipid accumulation. This approach provides a low-cost, scalable, and nutritious method for cultured fat production.",cellular agriculture; fat; food; insect; mycelium,Cultivated Meat Library,,,,,,2022,,,,ACS Biomater Sci Eng,,2022-08-17,,2373-9878,,10.1021/acsbiomaterials.2c00093,35977409,,,"Department of Biomedical Engineering, Tufts University, Medford, Massachusetts 02155, United States. Department of Biology, Tufts University, Medford, Massachusetts 02155, United States. Department of Bioengineering, Massachusetts Institute of Technology, Cambridge, Massachusetts 02142, United States. Department of Chemistry, Tufts University, Medford, Massachusetts 02155, United States. Department of Chemical Engineering, Tufts University, Medford, Massachusetts 02155, United States.",en,,,,,,,,,,,2022-08-26,2022-09-08
Garrison_2022,"Garrison GL,Biermacher JT,Brorsen BW",Journal of Agriculture and Food Research,How much will large-scale production of cell-cultured meat cost?,https://www.sciencedirect.com/science/article/pii/S2666154322000916; http://dx.doi.org/10.1016/j.jafr.2022.100358,Journal Article,Research Article,"Cultivated,Meat",,Modeling,,,"Cell-cultured meat has received favorable press and is being touted as a replacement for the entire livestock industry. The objective of the study was to determine what it will cost to produce cell-cultured meat in a large-scale ($60 million) production facility that produces 540,000 kg of product annually. Many of the funders behind this industry hope to reduce the environmental and land impacts of our current agricultural system. Although the initial goal is to use stem cells that must be replenished directly from animals, many firms want to develop cell lines that allow them to be independent of animals in the future. The technologies used to produce cell-cultured meat are continuously being improved, so there is still much uncertainty on what the final product will cost. Previous research has focused primarily on the cost of the cell-culture medium—a liquid or gel designed to support the growth of cells—rather than other potentially important costs. We estimate startup, production, employment, and transportation costs in addition to available cell-culture medium costs and expected output per batch to create a full-detailed enterprise budget. Cost estimates are calculated using (1) cell-cultured bioprocess information from published literature; (2) bioreactor and cold storage infrastructure information from engineers; and (3) prices and quantities of other relevant costs obtained from public and private sources. Results suggest that the cell-cultured meat industry has a long way to go before it can operate and make an acceptable return on investment. Assuming that technology will be developed to reduce the cost of the medium including growth hormone substitutes and buying ingredients in bulk, 1 kg of cell-cultured meat is estimated to cost $63/kg to produce in a large-scale facility. The three major costs of production are the cell-culture medium, bioreactors, and labor. These costs make up over 80% of the overall cost of production.",Cell-cultured meat; Cellular agriculture; Food economics; Livestock GHG emissions; Meat substitute,Cultivated Meat Library,,,,,,2022,10,,100358,Journal of Agriculture and Food Research,,2022-12-01,,2666-1543,,10.1016/j.jafr.2022.100358,,,,,,,,,,,,,,,,2022-08-26,2022-08-31
Saad_2022,"Saad MK,Yuen JS,Joyce CM,Li X,Lim T,Wolfson TL,Wu J,Laird J,Vissapragada S,Calkins OP,Ali A,Kaplan DL",,Continuous Fish Muscle Cell Line with Capacity for Myogenic and Adipogenic-like Phenotypes,https://www.biorxiv.org/content/10.1101/2022.08.22.504874v1; http://dx.doi.org/10.1101/2022.08.22.504874,Preprint Manuscript,,"Cultivated,Seafood",,"Myogenesis,Adipogenesis",Cell line development,Atlantic mackerel,"Cell-cultivated fish offers the potential for a more ethical, sustainable, and safe seafood system. However, fish cell culture is relatively understudied in comparison to mammalian cells. Here, we established and characterized a continuous Atlantic mackerel (Scomber scombrus) skeletal muscle cell line (Mack cells). The cells were isolated from muscle biopsies of fresh-caught fish, with separate isolations performed from two distinct fish. Mack1 cells (cells from the first isolation) were cultured for over a year and subcultured over 130 times. The cells proliferated at initial doubling times of 63.9 hr (+/- 19.1 SD). After a spontaneous immortalization crisis from passages 37-43, the cells proliferated at doubling times of 24.3 hr (+/- 4.91 SD). A muscle phenotype was confirmed through characterization of muscle stemness and differentiation via paired-box protein 7 (PAX7) and myosin heavy chain (MHC) immunostaining, respectively. An adipocyte-like phenotype was also demonstrated for the cells through lipid accumulation, confirmed via Oil Red O (ORO) staining and quantification of neutral lipids. New qPCR primers (HPRT, PAX3B, MYOD1, MYOG, TNNT3A, and PPARG) were tailored to the mackerel genome and used to characterize mackerel cell genotypes. This work provides the first spontaneously immortalized fish muscle cell line for research, ideally serving as a reference for subsequent investigation. ### Competing Interest Statement The authors have declared no competing interest.",,"Cultivated Meat Library,PISCES/ATLAS,Fish-entials",CC BY,Mack1,,Scomber scombrus,,2022,,,2022.08.22.504874,,,2022-08-22,,,,10.1101/2022.08.22.504874,,,,,en,,,,,,,,,,bioRxiv,2022-08-26,2023-02-02
dos Santos_2022,"dos Santos AE,Cotta T,Santos JP,Camargos JS,do Carmo AC,Alcântara EG,Fleck C,Copola AG,Nogueira JM,Silva GA,Jorge EC,de Oliveira Andrade L,Ferreira RV",Authorea Preprints,Investigation of bioactive nanofiber-based scaffolds for cultivated meat,https://www.authorea.com/users/501460/articles/581923-investigation-of-bioactive-nanofiber-based-scaffolds-for-cultivated-meat?commit=d090161414a6dcb9903c35631a409529cf9171c7; http://dx.doi.org/10.22541/au.166062979.98859184/v1; https://www.authorea.com/doi/pdf/10.22541/au.166062979.98859184,Preprint Manuscript,,"Cultivated,Meat",Cellulose,Electrospinning,Scaffolding,,"Synthetic polymers scaffolds often need to be coated with extracellular matrix (ECM) proteins to improve cell adhesion. For cultivated meat applications, coating should be avoided since it is necessary to eliminate expensive and animal-derived components. As cellulose acetate nanofibers is a low-cost cellulose-derived material, that induces cell adhesion and proliferation, we investigated its use associated with a bioactive annatto extract, a food-dye and potential meat preservative, as scaffolds for cultivated meat. Here, the bioactive electrospun nanofibers were evaluated through morphological, mechanical and biological characterizations. The results revealed that the scaffolds were porous with no specific alignment and average fiber diameter of 420±212 nm. Molecular analyzes revealed that in contrast to cellulose acetate scaffold, annatto-loaded cellulose acetate scaffold favor a proliferative state of C2C12 mouse skeletal myoblasts. SEM microscopy images suggests that the nanofiber substrates can sustain long-term culture of the cells, up to 28 days. These results suggest that the combination of cellulose acetate fibers loaded with annatto extract may be an interesting economical alternative for support long-term muscle cells culture with potential application as a scaffold for cultivated meat and muscle tissue engineering.",,Cultivated Meat Library,,,,,,2022,,,,Authorea Preprints,Authorea,2022-08-16,,,,10.22541/au.166062979.98859184/v1,,,,,,,,,,,,,,,,2022-08-26,2022-09-08
